cpro,año,alquiler_mediano,alquiler_m2,superficie_m2,n_contratos,neto_mes_18_25,neto_mes_26_35,neto_mes_36_45,neto_mes_18_34,sal_26_35,paro_total,factor_2020,smi_mes,provincia,ccaa,tasa_esfuerzo,tasa_esfuerzo_18_25,tasa_esfuerzo_36_45,tasa_esfuerzo_18_34,sobre_30,alquiler_real,salario_real_26_35,D_2021,alquiler_mediano_lag1,neto_mes_26_35_lag1,paro_total_lag1,tasa_esfuerzo_lag1,var_alquiler_pct,var_salario_pct
46,2018,397.31301440329224,4.492753623188405,91.0,95215.0,508.90970833333336,1090.6945079166667,1408.2725516666667,897.0081746400706,15363.0,15.19,1.0037444693258832,735.9,Valencia/València,Comunitat Valenciana,36.43,78.07,28.21,44.29,1,398.8,1094.78,0,375.0,1050.9962729166666,18.54,35.68,5.950137174211267,3.777200359600874
46,2019,420.24,4.931543865970095,91.0,103185.0,538.0972916666666,1147.4198416666666,1457.2639883333334,937.05857033703,16315.0,13.65,0.9967743538313801,900.0,Valencia/València,Comunitat Valenciana,36.62,78.1,28.84,44.85,1,418.88,1143.72,0,397.31301440329224,1090.6945079166667,15.19,36.43,5.770509589558959,5.2008452722798415
46,2020,450.0,5.154639175257732,90.0,109211.0,553.6275833333333,1138.5230916666667,1438.4028783333333,950.1449824076441,16165.0,15.29,1.0,950.0,Valencia/València,Comunitat Valenciana,39.52,81.28,31.28,47.36,1,450.0,1138.52,0,420.24,1147.4198416666666,13.65,36.62,7.081667618503706,-0.7753700674268504
46,2021,458.3333333333333,5.421686746987952,90.0,116662.0,567.4409583333334,1210.1122733333334,1497.5366099999999,988.8121826901296,17372.0,14.71,0.9699974935414286,950.0,Valencia/València,Comunitat Valenciana,37.88,80.77,30.61,46.35,1,444.58,1173.81,1,450.0,1138.5230916666667,15.29,39.52,1.8518518518518379,6.287898962318672
46,2022,500.0,5.769230769230769,90.0,122952.0,632.2051791666667,1300.6218766666666,1593.4917374999998,1056.7175806739033,18898.0,12.55,0.8949107299739896,1000.0,Valencia/València,Comunitat Valenciana,38.44,79.09,31.38,47.32,1,447.46,1163.94,1,458.3333333333333,1210.1122733333334,14.71,37.88,9.090909090909104,7.4794385056535795
46,2023,525.0,6.1808683120158525,90.0,131518.0,663.3695579166666,1373.4566033333333,1659.9754333333333,1109.8631772244378,20126.0,11.97,0.8643768521205406,1080.0,Valencia/València,Comunitat Valenciana,38.22,79.14,31.63,47.3,1,453.8,1187.18,1,500.0,1300.6218766666666,12.55,38.44,5.000000000000004,5.599992432338063
46,2024,570.0,6.690140845070423,90.0,137413.0,694.1546541666667,1431.522725,1715.6425541666667,1153.857707185388,21105.0,11.7,0.8410456579083591,1134.0,Valencia/València,Comunitat Valenciana,39.82,82.11,33.22,49.4,1,479.4,1203.98,1,525.0,1373.4566033333333,11.97,38.22,8.571428571428562,4.227736174972119
47,2011,420.0,5.170384615384616,84.0,13260.0,544.8869166666667,1163.3153683333333,1441.6057083333333,1010.859436710481,16583.0,16.63,1.0717791932800231,641.4,Valladolid,Castilla y León,36.1,77.08,29.13,41.55,1,450.15,1246.82,0,,,,,,
47,2012,410.0,5.084745762711864,84.0,13677.0,505.63195833333333,1110.5872966666668,1392.9108299999998,970.2484457860701,15694.0,18.88,1.0461898360861621,641.4,Valladolid,Castilla y León,36.92,81.09,29.43,42.26,1,428.94,1161.89,0,420.0,1163.3153683333333,16.63,36.1,-2.3809523809523836,-4.532568992207953
47,2013,400.0,4.895238095238095,85.0,14312.0,460.2117083333333,1083.6145679166666,1390.06387,942.4819671054333,15251.0,20.06,1.031656722448744,645.3,Valladolid,Castilla y León,36.91,86.92,28.78,42.44,1,412.66,1117.92,0,410.0,1110.5872966666668,18.88,36.92,-2.4390243902439046,-2.4286905523731916
47,2014,398.1818181818182,4.838709677419355,85.0,15409.0,443.27666666666664,1070.7189629166667,1385.6748066666669,918.7072398863285,15047.0,18.15,1.0332160647146191,645.3,Valladolid,Castilla y León,37.19,89.83,28.74,43.34,1,411.41,1106.28,0,400.0,1083.6145679166666,20.06,36.91,-0.4545454545454519,-1.190054598914514
47,2015,390.71769781604667,4.795555312325178,85.0,16876.0,473.5568333333333,1086.4591866666667,1407.5015,925.3028665892775,15296.0,16.09,1.0384115222946557,648.6,Valladolid,Castilla y León,35.96,82.51,27.76,42.23,1,405.73,1128.19,0,398.1818181818182,1070.7189629166667,18.15,37.19,-1.874550776791939,1.4700611733935443
47,2016,400.0,4.910714285714286,85.0,18355.0,503.52483333333333,1098.072535,1425.7101816666666,932.0911578424194,15483.0,14.1,1.0405208860397714,655.2,Valladolid,Castilla y León,36.43,79.44,28.06,42.91,1,416.21,1142.57,0,390.71769781604667,1086.4591866666667,16.09,35.96,2.375705588929722,1.0689171278457144
47,2017,400.0,5.0,84.0,19794.0,509.29991666666666,1122.2716950000001,1444.15611,939.955058136804,15891.0,13.82,1.0205611862446453,707.7,Valladolid,Castilla y León,35.64,78.54,27.7,42.56,1,408.22,1145.35,0,400.0,1098.072535,14.1,36.43,0.0,2.203785198944086
47,2018,400.0,5.118110236220472,84.0,21146.0,520.6159583333333,1156.5538383333333,1473.3967616666666,957.6811916949621,16469.0,10.99,1.0037444693258832,735.9,Valladolid,Castilla y León,34.59,76.83,27.15,41.77,1,401.5,1160.88,0,400.0,1122.2716950000001,13.82,35.64,0.0,3.0547097896230113
47,2019,437.5512295081967,5.46875,84.0,22557.0,563.773,1207.7991183333334,1515.4487333333334,997.190500608177,17333.0,10.87,0.9967743538313801,900.0,Valladolid,Castilla y León,36.23,77.61,28.87,43.88,1,436.14,1203.9,0,400.0,1156.5538383333333,10.99,34.59,9.387807377049162,4.430859878849036
47,2020,450.0,5.593220338983051,84.0,23530.0,612.2368749999999,1179.6853883333333,1487.750185,1005.7715290037328,16859.0,10.61,1.0,950.0,Valladolid,Castilla y León,38.15,73.5,30.25,44.74,1,450.0,1179.69,0,437.5512295081967,1207.7991183333334,10.87,36.23,2.8451001053740876,-2.327682606590631
