cpro,provincia,ccaa,año,alquiler_mediano,factor_2020,salario_neto_mes,banda_edad,tasa_esfuerzo,alquiler_real,sobre_30
4,Almería,Andalucía,2021,400.0,0.9699974935414286,567.98725,18-25,70.42,388.0,1
4,Almería,Andalucía,2021,400.0,0.9699974935414286,971.9790854166666,26-35,41.15,388.0,1
4,Almería,Andalucía,2021,400.0,0.9699974935414286,1183.9558283333333,36-45,33.79,388.0,1
4,Almería,Andalucía,2022,400.0,0.8949107299739896,601.6232083333333,18-25,66.49,357.96,1
4,Almería,Andalucía,2022,400.0,0.8949107299739896,1015.6597866666667,26-35,39.38,357.96,1
4,Almería,Andalucía,2022,400.0,0.8949107299739896,1231.34585,36-45,32.48,357.96,1
4,Almería,Andalucía,2023,425.04250850170035,0.8643768521205406,650.8532354166667,18-25,65.31,367.4,1
4,Almería,Andalucía,2023,425.04250850170035,0.8643768521205406,1089.9991566666665,26-35,38.99,367.4,1
4,Almería,Andalucía,2023,425.04250850170035,0.8643768521205406,1290.8947633333335,36-45,32.93,367.4,1
4,Almería,Andalucía,2024,450.0,0.8410456579083591,675.0641016666667,18-25,66.66,378.47,1
4,Almería,Andalucía,2024,450.0,0.8410456579083591,1131.168445,26-35,39.78,378.47,1
4,Almería,Andalucía,2024,450.0,0.8410456579083591,1331.8198133333333,36-45,33.79,378.47,1
5,Ávila,Castilla y León,2011,347.1467391304348,1.0717791932800231,537.6290416666667,18-25,64.57,372.06,1
5,Ávila,Castilla y León,2011,347.1467391304348,1.0717791932800231,1071.9832379166667,26-35,32.38,372.06,1
5,Ávila,Castilla y León,2011,347.1467391304348,1.0717791932800231,1232.7100183333332,36-45,28.16,372.06,0
5,Ávila,Castilla y León,2012,325.0,1.0461898360861621,490.8040416666667,18-25,66.22,340.01,1
5,Ávila,Castilla y León,2012,325.0,1.0461898360861621,1016.1022829166667,26-35,31.98,340.01,1
5,Ávila,Castilla y León,2012,325.0,1.0461898360861621,1207.14669,36-45,26.92,340.01,0
5,Ávila,Castilla y León,2013,300.0,1.031656722448744,435.08229166666666,18-25,68.95,309.5,1
5,Ávila,Castilla y León,2013,300.0,1.031656722448744,982.7886366666667,26-35,30.53,309.5,1
5,Ávila,Castilla y León,2013,300.0,1.031656722448744,1211.7136883333335,36-45,24.76,309.5,0
5,Ávila,Castilla y León,2014,300.0,1.0332160647146191,409.1724583333333,18-25,73.32,309.96,1
5,Ávila,Castilla y León,2014,300.0,1.0332160647146191,952.0667541666667,26-35,31.51,309.96,1
5,Ávila,Castilla y León,2014,300.0,1.0332160647146191,1196.7078366666667,36-45,25.07,309.96,0
5,Ávila,Castilla y León,2015,300.0,1.0384115222946557,415.4938333333334,18-25,72.2,311.52,1
5,Ávila,Castilla y León,2015,300.0,1.0384115222946557,954.6585179166667,26-35,31.42,311.52,1
5,Ávila,Castilla y León,2015,300.0,1.0384115222946557,1216.2806866666667,36-45,24.67,311.52,0
5,Ávila,Castilla y León,2016,300.0,1.0405208860397714,440.7012916666667,18-25,68.07,312.16,1
5,Ávila,Castilla y León,2016,300.0,1.0405208860397714,948.6532116666667,26-35,31.62,312.16,1
5,Ávila,Castilla y León,2016,300.0,1.0405208860397714,1226.541605,36-45,24.46,312.16,0
5,Ávila,Castilla y León,2017,300.0,1.0205611862446453,466.45504166666666,18-25,64.31,306.17,1
5,Ávila,Castilla y León,2017,300.0,1.0205611862446453,958.3249154166666,26-35,31.3,306.17,1
5,Ávila,Castilla y León,2017,300.0,1.0205611862446453,1244.2757933333332,36-45,24.11,306.17,0
5,Ávila,Castilla y León,2018,310.0,1.0037444693258832,497.04737500000005,18-25,62.37,311.16,1
5,Ávila,Castilla y León,2018,310.0,1.0037444693258832,1002.3848991666667,26-35,30.93,311.16,1
5,Ávila,Castilla y León,2018,310.0,1.0037444693258832,1286.9208816666667,36-45,24.09,311.16,0
5,Ávila,Castilla y León,2019,347.56785714285706,0.9967743538313801,519.9135833333333,18-25,66.85,346.45,1
